userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (318,9.72589768934995e-05) (2858,9.715300984680653e-05) (595,8.675128628965467e-05)* (2762,8.203421748476103e-05)* (356,7.991363963810727e-05) (2396,7.860505866119638e-05) (593,7.622223347425461e-05) (1197,7.588065636809915e-05) (34,7.534218457294628e-05) (364,7.197745435405523e-05) (1198,7.160907989600673e-05) (1196,6.84741316945292e-05) (1210,6.529257370857522e-05) (1259,6.403591396519914e-05) (2081,6.384050357155502e-05) (2078,6.375306111294776e-05) (1265,6.294687045738101e-05) (2080,6.291845056694001e-05) (2716,5.9942623920505866e-05) (110,5.8792084018932655e-05)
2393: (1196,0.0001635406370041892)* (858,0.00014386107795871794) (1210,0.00011640787124633789) (527,0.00011478226952021942) (2858,0.0001145427449955605) (912,0.00010568986181169748)* (919,0.00010122259118361399) (2571,8.720732876099646e-05) (1240,8.67361159180291e-05) (1197,8.560968126403168e-05) (1097,8.376451296498999e-05) (1213,8.18076150608249e-05) (296,8.102973515633494e-05) (1136,8.041634282562882e-05) (904,7.374847336905077e-05) (2396,7.329431537073106e-05)* (1200,7.049414853099734e-05) (589,7.04563717590645e-05)* (50,7.009472756180912e-05) (1,6.942448817426339e-05)
2394: (260,0.00013045592640992254) (2571,0.00012257973139639944) (589,0.00011927563173230737)* (1210,0.00011755256855394691) (1196,9.57200609263964e-05) (2028,8.888900629244745e-05) (110,8.851354505168274e-05) (2628,8.739430631976575e-05) (1198,8.30542849143967e-05) (457,8.042006811592728e-05) (2762,7.54864449845627e-05) (1610,7.279639976331964e-05) (2858,7.172374171204865e-05) (1097,7.067951810313389e-05) (1,7.033489237073809e-05) (2716,6.82236859574914e-05) (780,6.628744449699298e-05) (593,6.477264105342329e-05) (3114,6.340588151942939e-05) (1240,5.887513907509856e-05)
2395: (2858,0.00012335331120993942)* (260,0.0001118615546147339) (1210,0.00010704409942263737) (318,0.00010490851855138317)* (527,0.00010429903340991586) (110,0.00010317982378182933) (2571,9.654472523834556e-05)* (2762,9.650555875850841e-05) (589,9.35010175453499e-05) (296,9.077428694581613e-05)* (608,9.048612992046401e-05) (1197,8.493431960232556e-05) (356,8.25538591016084e-05)* (1213,8.041178807616234e-05)* (50,7.605527207488194e-05)* (1036,7.428714161505923e-05) (1617,7.236853707581758e-05)* (1221,6.950842362130061e-05)* (1259,6.877860869280994e-05) (2000,6.656305049546063e-05)*
2396: (527,0.0002263844944536686) (2997,0.00020663543546106666)* (593,0.0002035604848060757) (2028,0.00018317265494260937) (2762,0.00016251155466306955)* (1617,0.0001581490651005879) (1704,0.00015584903303533792) (858,0.00015382541459985077) (1265,0.00014850476873107255) (3418,0.00014027285214979202) (34,0.00013114899047650397) (3006,0.0001285388134419918) (1,0.0001252368529094383) (1358,0.00012361336848698556) (2571,0.00012226516264490783) (36,0.00011993450607405975) (265,0.00011944650759687647)* (1193,0.00011862439714604989) (1041,0.00011391007137717679) (1923,0.00011336948227835819)
2397: (608,7.744767935946584e-05) (2858,6.719672819599509e-05) (858,6.635909812757745e-05) (527,6.488236249424517e-05)* (1617,6.332650082185864e-05) (318,6.086054054321721e-05) (912,5.9195150242885575e-05) (1213,5.759748091804795e-05) (1193,5.661062095896341e-05) (908,5.103862349642441e-05) (2396,4.741733573609963e-05) (2997,4.705850005848333e-05) (1252,4.6279885282274336e-05) (1221,4.575608909362927e-05) (1230,4.5038505049888045e-05) (904,4.493528831517324e-05)* (50,4.4040560169378296e-05) (1267,4.378307858132757e-05) (750,4.189488754491322e-05) (1225,4.153156260144897e-05)
2398: (2858,0.0001252949150511995) (318,0.00011580525460885838) (593,0.00011391722364351153) (2396,8.879476808942854e-05) (608,8.536803943570703e-05) (1193,7.533857569796965e-05) (858,7.511369767598808e-05)* (1213,7.47545127524063e-05) (260,7.33597989892587e-05) (1704,7.262803410412744e-05)* (110,7.1388429205399e-05) (1617,7.002959318924695e-05) (2997,6.855428364360705e-05) (1196,6.645631219726056e-05) (1210,6.612825382035226e-05) (356,6.33185263723135e-05) (480,6.107422086643055e-05) (3114,5.7376753829885274e-05) (1198,5.722231071558781e-05) (50,5.6849567044992e-05)
2399: (2160,0.00013419470633380115) (3160,0.00013257208047434688) (1259,0.00012467216583900154) (858,0.00012203511141706258) (2791,0.00011980531417066231) (593,0.00011587292101467028) (110,0.00011570240167202428) (1193,0.00010507122351555154) (3897,0.00010427645611343905) (1035,0.00010272120562149212) (912,9.901584417093545e-05) (111,9.879023127723485e-05) (3481,9.759674867382273e-05) (1284,9.75907314568758e-05) (1197,9.716031490825117e-05) (589,9.251743904314935e-05)* (2455,9.053487156052142e-05) (2997,9.039110591402277e-05) (2028,8.899715612642467e-05) (2804,8.752357825869694e-05)
2400: (2571,0.0001830798137234524) (1214,0.0001494778407504782) (2288,0.00011697593436110765) (1200,0.00011080312106059864) (110,9.425800089957193e-05) (1270,9.285354462917894e-05) (1036,9.033804963110015e-05) (1982,8.636074198875576e-05) (1097,8.236633584601805e-05) (1261,8.024290582397953e-05) (1997,7.991173333721235e-05) (1291,7.984339754329994e-05) (3527,7.823167106835172e-05) (2916,7.748324424028397e-05) (2628,7.74299624026753e-05) (1197,7.637248927494511e-05) (457,7.496382022509351e-05) (1580,7.329478830797598e-05) (3793,7.289716450031847e-05) (1374,7.258915866259485e-05)
2401: (260,0.00022182095563039184) (2762,0.00015371844347100705) (1240,0.00012466890620999038) (3578,0.0001176811711047776) (1197,0.00011099474068032578) (593,0.00010766987543320283) (2916,0.00010231317719444633) (3793,0.00010153438051929697) (3753,0.00010114609904121608) (1580,0.00010004618525272235) (2997,9.811401832848787e-05)* (2355,9.753115591593087e-05) (356,9.748205047799274e-05) (1214,9.674497414380312e-05) (527,9.639847121434286e-05) (1291,9.342065459350124e-05) (1127,9.272242459701374e-05) (1270,8.788214472588152e-05) (2628,8.70786388986744e-05) (2959,8.484080171911046e-05)
2402: (1210,0.00015289988368749619)* (589,0.0001363935589324683)* (2571,0.00013377898721955717)* (2028,0.00012615193554665893)* (593,0.00012458130368031561) (858,0.00011928252934012562)* (2858,0.00010265851597068831) (1197,9.852956281974912e-05) (1097,9.197675535688177e-05) (1221,8.932526543503627e-05)* (1193,8.13691585790366e-05) (1291,7.670055492781103e-05)* (1580,7.560395170003176e-05) (457,7.52481137169525e-05) (1304,7.063490193104371e-05) (2916,7.001742778811604e-05) (1387,6.785870209569111e-05) (3527,6.506578210974112e-05)* (2762,6.450065120588988e-05) (356,6.43823150312528e-05)*
2403: (1240,0.00018411480414215475) (480,0.00018013660155702382)* (1214,0.00017148327606264502)* (2028,0.00016094098100438714)* (2916,0.00015040340076666325) (2628,0.00013673091598320752) (1036,0.00012286350829526782) (2858,0.00011998118134215474) (593,0.00011662949691526592) (541,0.00011264379281783476)* (1356,0.00011189809447387233) (2762,0.00010864811338251457) (3793,0.00010650246986187994) (858,0.00010397729784017429) (780,0.0001010466439765878) (3527,9.983016207115725e-05) (1097,9.499090083409101e-05) (1127,9.24385167309083e-05) (1374,9.15558630367741e-05) (527,8.969365444499999e-05)
2404: (593,0.00015636092575732619) (318,0.00014968217874411494) (527,0.00014161401486489922) (1210,0.00013812966062687337)* (2571,0.00013422344636637717) (589,0.00011747167445719242) (2762,0.0001093981190933846) (1617,0.00010578224464552477) (1221,0.00010068392293760553) (457,0.00010025454685091972) (1240,9.232635784428567e-05) (1,8.903885463951156e-05) (1193,8.670141687616706e-05) (480,8.581086876802146e-05)* (356,8.572591468691826e-05) (1089,8.38418272905983e-05)* (1704,8.311861893162131e-05) (2804,8.311145938932896e-05) (1136,7.80931077315472e-05) (2716,7.732316589681432e-05)
2405: (260,0.00016013672575354576) (1196,0.0001335884298896417) (1198,0.00011820762301795185) (1210,0.00011642256868071854) (2028,8.512603380950168e-05) (858,7.691083737881854e-05) (1036,7.529947470175102e-05) (1197,7.440363697241992e-05) (1214,7.229405309772119e-05) (1304,7.126225682441145e-05) (527,7.051481952657923e-05)* (1097,6.885910988785326e-05) (457,6.286605639616027e-05) (593,6.157365714898333e-05) (1387,6.086697248974815e-05) (110,6.043894245522097e-05) (1200,5.95760066062212e-05) (480,5.8294652262702584e-05) (912,5.586784754996188e-05) (1221,5.532972136279568e-05)
2406: (527,9.172417048830539e-05) (593,9.140833572018892e-05) (2028,8.106287714326754e-05) (2396,7.593532063765451e-05) (1721,6.898074207128957e-05)* (1307,6.770928303012624e-05)* (1,6.0397578636184335e-05) (608,5.843618055223487e-05) (2858,5.8200359490001574e-05) (110,5.664745913236402e-05) (3147,5.660796523443423e-05) (150,5.5483727919636294e-05) (11,5.53840072825551e-05) (34,5.525890810531564e-05) (296,5.3355444833869115e-05) (1197,5.2644692914327607e-05) (1259,5.0113347242586315e-05) (3255,4.930697468807921e-05) (1213,4.8380810767412186e-05) (2324,4.787558282259852e-05)
2407: (919,0.00010786501661641523)* (1193,8.569897181587294e-05) (1221,8.474314381601289e-05)* (1252,8.396272460231557e-05)* (750,8.333960431627929e-05) (1247,7.864490908104926e-05)* (1267,7.71188351791352e-05)* (111,7.385864591924474e-05) (969,7.369682134594768e-05) (260,7.035705493763089e-05) (1234,6.884882168378681e-05) (899,6.872375524835661e-05) (1197,6.745997234247625e-05) (903,6.711335299769416e-05) (2858,6.573664722964168e-05) (1148,6.558535096701235e-05) (1204,6.361214764183387e-05) (1259,6.34914031252265e-05) (3421,6.29216228844598e-05) (920,6.269825098570436e-05)
2408: (2858,0.0001301437005167827) (2028,8.380188955925405e-05) (3578,8.148869528668001e-05) (110,8.006311691133305e-05) (527,7.797323632985353e-05) (318,7.45433644624427e-05) (3753,7.331308006541803e-05) (480,7.026203093118966e-05) (2396,6.579756882274523e-05) (1617,6.0694394051097333e-05) (589,6.006094554322772e-05) (2997,5.972242433927022e-05) (3555,5.8090605307370424e-05) (2706,5.791595685877837e-05) (1721,5.763076478615403e-05) (3623,5.604963007499464e-05) (356,5.470446922117844e-05) (2688,5.3373805712908506e-05) (3147,5.272203270578757e-05) (2707,5.1017097575822845e-05)
2409: (2858,8.432851609541103e-05)* (1210,7.591591565869749e-05) (1196,7.450319390045479e-05) (260,7.34802961233072e-05) (1198,7.219976396299899e-05)* (318,7.173148333095014e-05) (593,6.86407001921907e-05) (2762,6.66334672132507e-05) (1197,6.282274989644065e-05) (1259,6.009390563121997e-05) (3114,5.8341058320365846e-05) (356,5.747426257585175e-05) (1225,5.531386341317557e-05) (1307,5.494298238772899e-05) (3753,5.43178066436667e-05)* (1721,5.1972547225886956e-05) (1961,5.113008955959231e-05) (1,5.0953451136592776e-05) (1968,5.091825732961297e-05) (2791,5.0688486226135865e-05)
2410: (593,0.00011207190254935995) (608,8.054862701101229e-05) (912,8.048662857618183e-05) (2396,7.973673200467601e-05) (2028,7.639671093784273e-05) (1213,7.095812179613858e-05) (1704,6.497326830867678e-05) (296,6.4343330450356e-05) (1221,6.357976963045076e-05) (260,6.021085937391035e-05) (2762,5.848439468536526e-05) (1617,5.7798170018941164e-05) (1247,5.748675903305411e-05) (356,5.666398283210583e-05) (908,5.452428013086319e-05) (34,5.450599201139994e-05)* (1207,5.361092553357594e-05)* (1208,5.3156050853431225e-05)* (1198,5.0669197662500665e-05) (1097,5.046440855949186e-05)
2411: (1196,0.00019774383690673858)* (589,0.00014607043704017997)* (1270,0.0001420089101884514)* (480,0.00011028789595002308) (2762,0.00010864818614209071) (593,0.00010386911890236661) (1097,9.65310464380309e-05) (527,9.587235399521887e-05) (3114,9.335341746918857e-05) (1,8.908861491363496e-05) (1610,8.877914660843089e-05) (1136,8.876059291651472e-05)* (1580,8.748636901145801e-05) (2918,8.603277819929644e-05) (2997,8.329940465046093e-05) (1259,8.061336848186329e-05)* (318,7.93556246208027e-05) (1193,7.755192928016186e-05) (1127,7.744431059109047e-05) (2804,7.680511043872684e-05)*
2412: (1240,0.00013865124492440373) (260,0.00012338878877926618)* (589,0.00010992267198162153) (1200,9.961533942259848e-05) (1221,9.269227302866057e-05) (1036,9.110265091294423e-05) (1198,8.792539301794022e-05) (1210,8.60113141243346e-05) (1196,8.471203909721226e-05) (1387,8.248580707004294e-05)* (3702,8.145114406943321e-05) (2944,7.19288073014468e-05) (2951,7.181215914897621e-05) (457,7.173803896876052e-05) (3753,7.024192746030167e-05) (2948,6.673402822343633e-05) (2947,6.610297714360058e-05) (2288,6.447040505008772e-05) (2529,6.293299520621076e-05) (969,6.270892481552437e-05)
2413: (589,0.0001492516603320837) (1617,0.00014784568338654935) (858,0.00013953601592220366) (110,0.00012765188876073807) (1221,0.0001239363191416487) (1198,0.00011701538460329175) (1252,0.00011141265713376924) (1259,0.00011117345275124535) (1266,0.00010841919720405713) (608,0.00010614060010993853) (1200,0.00010565287084318697) (2791,0.00010441916674608365) (480,0.00010247838508803397) (2858,0.00010181369725614786) (2391,9.951648826245219e-05) (2291,9.868224151432514e-05) (908,9.681010851636529e-05) (296,9.49217937886715e-05) (1230,9.412417421117425e-05) (1269,9.405431046616286e-05)
2414: (2571,0.00014965095033403486) (2028,0.00012423054431565106) (1198,0.00012050380610162392) (318,0.00011255309073021635)* (2858,0.00011199693835806102) (1197,0.00011096794332843274)* (527,9.778595267562196e-05) (457,9.144923387793824e-05) (1580,8.728638931643218e-05)* (858,8.06884272606112e-05) (608,7.817781443009153e-05)* (2628,7.6672324212268e-05) (50,7.56765075493604e-05) (1214,7.310081127798185e-05) (2396,7.105560507625341e-05) (1617,7.004029612289742e-05) (1136,7.000554614933208e-05)* (1259,6.937039870535955e-05)* (1291,6.844331801403314e-05) (2804,6.740889512002468e-05)
2415: (593,0.00016152943135239184) (296,0.0001522738893982023) (110,0.000151978456415236) (589,0.00014683329209219664) (2028,0.00014524086145684123) (3160,0.00014068829477764666)* (527,0.00013289297930896282) (318,0.0001303864410147071) (1213,0.00013031954586040229) (858,0.00012470742512959987) (2762,0.00011861839448101819) (2959,0.0001168348389910534) (480,0.00011159087443957105) (1259,0.00010894876322709024) (50,0.00010861298505915329) (2571,0.00010729052883107215) (223,0.00010299579298589379) (3408,0.00010130985174328089) (2599,0.00010049680713564157) (1193,9.407616016687825e-05)
2416: (2858,0.00011624945182120427) (593,0.00010382120672147721)* (3753,0.00010260529961669818)* (318,8.83350003277883e-05) (110,8.738374890526757e-05) (2762,7.927348633529618e-05) (3408,7.798911246936768e-05) (3897,7.171082688728347e-05) (858,6.698448851238936e-05) (3624,6.67348358547315e-05) (3481,6.552670674864203e-05) (480,6.346454028971493e-05) (1617,6.008143463986926e-05) (1213,5.919842078583315e-05) (296,5.8640951465349644e-05) (3160,5.7880515669239685e-05) (3755,5.735832382924855e-05)* (608,5.677302033291198e-05) (1704,5.64985784876626e-05) (3623,5.572872032644227e-05)
2417: (260,0.00013203997514210641) (2858,0.0001229533227160573) (1210,0.00010323253081878647) (1198,0.00010002063936553895) (1196,9.57922384259291e-05) (1270,9.338493691757321e-05) (912,9.005743049783632e-05) (919,8.764175436226651e-05) (1,8.162998710758984e-05) (2396,8.049356256378815e-05) (1097,8.018346852622926e-05) (1307,7.940668729133904e-05) (858,7.930772699182853e-05) (2804,7.536806515417993e-05) (1230,7.509778515668586e-05) (2918,7.150350575102493e-05) (1265,7.01827448210679e-05) (593,6.832025974290445e-05) (1073,6.755601498298347e-05) (1079,6.611733260797337e-05)
2418: (11,6.835692329332232e-05) (539,6.594273872906342e-05)* (2396,6.097093864809722e-05) (1210,6.077474608900957e-05) (1,5.8005192840937525e-05) (3114,5.0413349526934326e-05) (1584,5.008725929656066e-05) (296,4.938894198858179e-05) (1356,4.835797881241888e-05) (2424,4.778582297149114e-05) (1721,4.7497938794549555e-05) (7,4.749249274027534e-05) (1784,4.4995485950494185e-05) (1372,4.490134961088188e-05) (1580,4.461050411919132e-05) (316,4.377432560431771e-05) (2302,4.3676711356965825e-05) (440,4.288811396691017e-05) (329,4.264691597199999e-05) (588,4.172157423454337e-05)
2419: (527,0.0001425228256266564) (2997,0.00014014496991876513)* (110,0.00012509683438111097) (1210,0.00011070389155065641) (1197,0.00010928456322290003) (1213,0.00010461487545398995)* (1265,0.0001044494056259282) (2716,0.00010234638466499746) (2706,9.967917139874771e-05)* (50,9.831150964600965e-05)* (3114,9.650248830439523e-05) (3578,9.635664173401892e-05)* (2571,9.43331906455569e-05) (1,9.430811769561842e-05) (2959,9.383724682265893e-05) (2355,9.2825670435559e-05) (2791,9.1283924120944e-05) (3753,8.961287676356733e-05)* (1193,8.562581206206232e-05) (480,8.324566442752257e-05)
2420: (1210,0.0003727125294972211) (1200,0.0002820923400577158)* (1036,0.0002620522282086313) (1387,0.00022244393767323345) (2028,0.00021776258654426783) (457,0.00021588936215266585) (858,0.00021234781888779253)* (480,0.0002115289680659771) (541,0.00020654436957556754) (3527,0.0001800205500330776) (1197,0.00017513356579001993) (3703,0.00017049505549948663)* (1610,0.00016815922572277486)* (1374,0.00016168611182365566) (3471,0.00015878757403697819) (924,0.00015277994680218399) (3793,0.0001524395338492468) (1580,0.00014963826106395572) (2628,0.00014721306797582656) (1954,0.00014442781684920192)
2421: (541,0.0002662507176864892) (2028,0.000248877564445138) (593,0.00023181103460956365) (1198,0.00023125213920138776) (924,0.00020912410400342196) (1270,0.00020256926654838026) (110,0.00019829142547678202) (457,0.00018812560301739722) (1036,0.00017814509919844568) (1206,0.00017113093053922057) (2858,0.00017011878662742674) (318,0.0001676121901255101) (750,0.00016273492656182498) (2628,0.00016245101869571954) (1387,0.00015447934856638312) (32,0.00015293515753000975) (3527,0.00015183229697868228) (1213,0.00015021083527244627) (3702,0.00014538769028149545) (3703,0.00014425476547330618)
2422: (2791,0.00016544038953725249) (1197,0.0001579601230332628) (2858,0.00014158673002384603) (1307,0.0001401053596055135)* (1968,0.0001320841838605702) (1259,0.0001299688155995682) (2396,0.00012250873260200024) (2804,0.0001210402260767296) (1265,0.00011996045213891193) (1136,0.00011622291640378535) (1394,0.00010970792936859652) (2248,0.00010952319280477241) (2716,0.00010753161768661812) (1,0.00010670989286154509) (3421,0.0001024744487949647) (34,9.906764898914844e-05) (1097,9.898628923110664e-05) (1257,9.72769339568913e-05) (1172,9.424746531294659e-05) (3114,8.950088522396982e-05)
2423: (2396,8.998819248517975e-05) (919,7.227296737255529e-05) (356,6.748567102476954e-05) (2762,6.433604721678421e-05) (527,6.417758413590491e-05) (318,6.292873149504885e-05) (899,6.263742398004979e-05) (593,5.9586018323898315e-05)* (3114,5.7841763918986544e-05) (2858,5.665057324222289e-05) (1,5.639235314447433e-05) (539,5.591652370640077e-05) (1307,5.5887056078063324e-05) (34,5.42045381735079e-05) (1097,5.1139337301719934e-05) (1393,5.089480328024365e-05) (2028,4.932792580802925e-05) (1197,4.9205129471374676e-05) (2355,4.7383895434904844e-05) (1947,4.6993689466034994e-05)*
2424: (589,0.00023991824127733707)* (2028,0.0001715475955279544) (1214,0.00014358261250890791) (2628,0.00013960279466118664) (1200,0.00013727383338846266) (2916,0.00013466476229950786) (593,0.0001319099828833714) (2858,0.0001306498161284253) (1197,0.00012932103709317744) (1291,0.0001155023492174223) (2762,0.00011398678907426074) (1610,0.00011317324242554605) (3793,0.00011006381100742146)* (541,0.00010362608009018004) (527,0.00010126095730811357) (1127,9.902695455821231e-05) (1374,9.603019861970097e-05) (356,9.332816989626735e-05) (3753,8.91993404366076e-05) (2000,8.759676711633801e-05)
2425: (2028,0.0001764590124366805)* (480,0.0001592201297171414) (589,0.00015174082363955677) (2858,0.00014895085769239813) (260,0.0001423487556166947) (318,0.00013858384045306593)* (1198,0.00012945376511197537) (1196,0.00011963845463469625) (3555,0.0001050271894200705) (356,0.00010376290447311476) (1704,0.00010336624836781994) (1721,0.00010289783676853403) (1036,9.728712757350877e-05) (1580,9.455693361815065e-05) (3623,8.930801413953304e-05) (3408,8.707269444130361e-05) (3147,8.63076638779603e-05) (3793,8.346710092155263e-05) (858,8.305998926516622e-05) (2916,7.818563608452678e-05)
2426: (527,0.00026027264539152384)* (593,0.00022161724336910993) (608,0.00019990118744317442) (1193,0.00019042864732909948) (1198,0.00017365474195685238) (2858,0.00017022338579408824) (912,0.00014733939315192401) (1196,0.00014593203377444297) (260,0.0001444589433958754) (1299,0.00013276444224175066) (296,0.00013061040954198688) (1230,0.00013027849490754306) (1617,0.00012919551227241755) (1961,0.00012893193343188614) (1208,0.00012317209620960057) (2997,0.0001219199039041996) (111,0.0001201516788569279) (1207,0.00011776656174333766) (919,0.00011610123328864574) (3362,0.00011593299132073298)*
2427: (2355,0.00010692469368223101)* (2683,0.00010550508159212768) (223,9.616419993108138e-05) (3408,8.954158693086356e-05) (2694,8.003172115422785e-05) (3176,7.690397615078837e-05)* (2987,7.386841025436297e-05) (3081,7.232533971546218e-05) (3623,7.215540244942531e-05) (3005,6.984196079429239e-05) (3753,6.980188481975347e-05) (2716,6.932403630344197e-05) (2761,6.839186971774325e-05) (2908,6.833612860646099e-05) (2700,6.580181798199192e-05) (2707,6.493723776657134e-05) (3481,6.449672218877822e-05) (3624,6.332431803457439e-05) (3174,6.323438719846308e-05) (2580,6.232113082660362e-05)*
2428: (912,7.206141162896529e-05) (1265,6.471162487287074e-05) (1307,6.354998185997829e-05)* (2858,6.344437861116603e-05) (1304,6.059635052224621e-05) (1230,5.790690192952752e-05) (3114,5.7724639191292226e-05) (1270,5.713151040254161e-05)* (1,5.637396316160448e-05) (1210,5.607057028100826e-05) (260,5.594687900156714e-05) (356,5.4939573601586744e-05) (919,5.4501655540661886e-05) (969,5.327367762220092e-05) (913,5.237056757323444e-05) (1136,5.164444519323297e-05) (1234,5.0742422899929807e-05)* (920,5.052961205365136e-05) (858,5.024457641411573e-05) (3363,4.831706974073313e-05)*
2429: (2571,0.00014670914970338345) (2028,0.00013902534556109458)* (593,0.00013060835772193968)* (527,0.0001187336674774997)* (480,0.0001056898690876551) (1097,0.00010267983452649787) (858,0.00010055802704300731) (356,9.530827810522169e-05) (457,9.395152301294729e-05) (1,9.23092375160195e-05) (1200,9.166901872958988e-05) (2396,8.862667164066806e-05) (3114,8.477496157865971e-05) (1580,8.284090290544555e-05) (1291,8.28067641123198e-05) (2918,8.023891859920695e-05) (1704,7.951266161398962e-05) (608,7.844843639759347e-05) (2628,7.565109990537167e-05) (1610,7.425508374581113e-05)
2430: (1210,0.0001702135632513091) (1196,0.0001648336328798905) (2571,0.0001641393464524299) (1198,0.00014179378922563046) (110,0.00013193322229199111) (2028,0.00012608864926733077) (1240,0.00012534399866126478) (1270,0.00012481753947213292) (1214,0.00011353162699379027) (480,0.00011060824908781797)* (457,0.00010925228707492352) (1387,0.0001066406985046342) (1291,0.00010302520968252793) (1200,0.00010276283137500286) (2762,8.982927829492837e-05) (2916,8.8706765382085e-05) (2716,8.86560810613446e-05) (2628,8.859458466758952e-05) (2858,8.67131820996292e-05) (3793,8.102328138193116e-05)
2431: (2858,0.0002706640225369483) (527,0.00020567125466186553) (2028,0.00020396050240378827) (318,0.00019256191444583237) (110,0.00017430791922379285) (1704,0.00017006913549266756) (1193,0.0001602742850081995) (608,0.00015787428128533065) (2762,0.00015161230112425983) (1196,0.00014570463099516928) (912,0.00014558427210431546) (1213,0.0001426249509677291) (3753,0.00013126029807608575) (296,0.0001262641599169001) (3006,0.00012310859165154397) (1221,0.0001220502017531544) (3160,0.0001216852615470998) (356,0.00011938499665120617) (1259,0.00011868953879456967) (1210,0.00011624187754932791)
2432: (1200,0.000400065939174965) (480,0.0003066201461479068) (2028,0.0003019568684976548) (457,0.00028732657665386796) (2628,0.0002835468330886215) (2916,0.0002756890025921166) (1197,0.0002743043005466461) (110,0.00027234083972871304) (1097,0.0002606526541057974) (1580,0.0002550534263718873) (1356,0.0002537055406719446) (593,0.0002488059690222144) (3471,0.0002476770314387977) (1291,0.0002424238045932725) (1374,0.00023632576630916446) (3527,0.0002316443424206227) (2762,0.00022101309150457382) (3793,0.00021619978360831738) (924,0.00021436653332784772) (1127,0.00021426400053314865)
2433: (1210,0.00020712026162073016)* (2571,0.00018298180657438934) (2858,0.00017447950085625052) (1198,0.0001736192498356104) (589,0.00017264641064684838) (1197,0.00016753999807406217) (1270,0.00015401802374981344) (480,0.00014432391617447138) (1,0.00013175937056075782) (2997,0.00012878840789198875) (3114,0.00012318004155531526) (1265,0.00011412655294407159) (2396,0.00011387079575797543) (1240,0.00011308394459774718) (1580,0.00011217702558496967) (1097,0.00011032843758584931) (1136,0.00011024740524590015) (2762,0.00010828001541085541) (1259,0.00010678575927158818) (593,0.00010337786807212979)
2434: (1214,0.0002390499139437452) (589,0.00023737277660984546) (1240,0.00021415854280348867) (2571,0.00019943475490435958) (260,0.0001746580092003569) (50,0.00014574005035683513) (2028,0.00014561790158040822) (1270,0.0001449688134016469) (1200,0.0001310856459895149) (593,0.0001283224846702069)* (1196,0.00012478158168960363) (3471,0.00012159657489974052) (2542,0.000115877905045636) (457,0.0001155583668150939) (356,0.000115353221190162) (1387,0.00011478309897938743) (541,0.0001144356356235221) (2707,0.00011360765347490087) (47,0.00011059510143240914) (1036,0.00010428625682834536)*
2435: (2571,0.0002380869846092537) (589,0.00022832438116893172)* (480,0.0001647881290409714) (2858,0.00015922884631436318) (593,0.00013792522076983005) (858,0.0001332565734628588)* (1270,0.000130584929138422)* (2762,0.00012902147136628628) (1200,0.00011320954217808321) (356,0.00011074331268901005) (527,0.0001094181279768236) (1387,0.00010687561007216573) (318,0.00010087367263622582) (3793,9.928479266818613e-05) (3753,9.251257142750546e-05) (1097,9.242665691999719e-05) (2716,9.232357842847705e-05) (3114,9.061035962076858e-05) (2791,8.818427886581048e-05) (1617,8.792160224402323e-05)
2436: (2571,0.0001484849926782772) (589,0.0001368109369650483) (1210,0.00013282150030136108)* (2028,0.00013275558012537658)* (2762,0.00012169207911938429) (296,0.00011170800280524418)* (1198,0.00010787971405079588) (2396,0.00010206746810581535)* (1265,9.143560600932688e-05)* (3114,9.111400140682235e-05) (2804,7.61963237891905e-05)* (1968,7.303761958610266e-05)* (1036,7.179853128036484e-05)* (3793,6.977646262384951e-05) (2628,6.847352051408961e-05) (1193,6.769591709598899e-05) (1097,6.726810534019023e-05)* (1784,6.714199116686359e-05) (2916,6.459757423726842e-05)* (1089,6.372833740897477e-05)*
2437: (2571,0.0002045235742116347) (480,0.00018066802294924855) (2762,0.00015309170703403652) (457,0.00014653510879725218) (3160,0.0001408305106451735) (1259,0.00013751858205068856) (1197,0.00013522915833164006) (356,0.00012856406101491302) (2791,0.00012783346755895764)* (2291,0.00012704142136499286) (2706,0.00012500514276325703) (1617,0.000124485362903215) (608,0.00012422959844116122) (3578,0.00011977744725299999) (2396,0.00011888060544151813) (2683,0.00011668299703160301) (296,0.00011257876758463681) (2694,0.00010975899203913286) (318,0.0001092168313334696) (2997,0.00010890563862631097)
2438: (2858,0.00012069373042322695) (593,0.00011423569958424196) (260,0.00011093557986896485) (318,0.00010722004662966356) (1196,9.832729847403243e-05) (1210,9.681090159574524e-05) (858,9.004448656924069e-05) (608,8.449654706055298e-05) (296,8.349291601916775e-05) (1198,7.962955714901909e-05) (480,7.56257213652134e-05) (2396,7.533257303293794e-05) (1197,7.300957076949999e-05) (1270,7.099493086570874e-05) (457,7.051497959764674e-05) (1617,7.027206447673962e-05) (50,6.59500656183809e-05) (1193,6.512065738206729e-05) (1265,6.115103315096349e-05) (1580,6.101215331000276e-05)
