userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (2858,14.890045166015625) (2396,14.315960884094238) (593,13.95844841003418) (318,13.902490615844727) (858,13.371723175048828) (1196,13.35035514831543) (1193,13.177972793579102)* (1198,13.17405891418457) (912,13.164117813110352) (1197,12.978717803955078) (2762,12.956230163574219)* (1225,12.740355491638184) (1265,12.728422164916992) (34,12.527816772460938) (356,12.313689231872559) (1617,12.16653060913086) (1259,12.082703590393066) (1307,12.074316024780273) (1210,12.057555198669434) (2997,11.875787734985352)
2580: (2858,17.81418800354004) (2396,17.345279693603516) (1265,16.422466278076172)* (318,16.02914047241211) (527,15.999815940856934) (608,15.913503646850586) (593,15.761585235595703) (1307,15.389986038208008) (356,15.047664642333984) (1193,15.025423049926758) (1,14.995929718017578) (1270,14.968012809753418) (858,14.902444839477539) (34,14.897516250610352)* (2997,14.866785049438477) (1225,14.802988052368164) (2762,14.756731033325195) (912,14.683446884155273) (919,14.474225997924805) (1259,14.452275276184082)
2581: (608,29.166019439697266)* (2858,28.381103515625)* (1193,28.202396392822266) (318,26.565418243408203)* (296,24.953344345092773)* (923,24.44656753540039)* (2997,23.892135620117188) (50,23.19230842590332)* (1196,22.886547088623047) (1198,22.843246459960938) (1136,22.773414611816406) (34,22.65048599243164)* (1394,22.22199249267578)* (1197,22.191835403442383)* (1307,21.960586547851562)* (2324,21.612075805664062)* (1304,21.583332061767578)* (1094,21.493080139160156) (903,21.346240997314453)* (1244,21.168506622314453)
2582: (608,16.14939308166504) (2997,15.169525146484375) (1193,14.842044830322266) (527,14.367744445800781) (2396,14.178123474121094) (912,14.124954223632812) (858,14.11205768585205) (296,14.111054420471191) (318,14.057631492614746) (593,13.980026245117188) (1225,13.90330696105957) (1617,13.889664649963379) (1247,13.569828033447266) (2599,13.473677635192871) (1213,13.324727058410645) (111,13.260622024536133) (923,13.221946716308594) (908,13.207275390625) (1252,12.94255256652832) (50,12.707242965698242)
2583: (589,24.359046936035156)* (2571,23.377674102783203) (110,21.69721794128418) (1197,21.60538101196289) (2028,21.251567840576172) (541,19.91739845275879) (1610,19.831016540527344)* (2716,18.618877410888672)* (1259,18.465511322021484) (1136,18.345273971557617) (1,18.04556655883789)* (1376,17.776718139648438) (2762,17.689495086669922)* (527,17.675691604614258) (1356,17.565269470214844) (1222,17.247142791748047) (608,17.114009857177734) (2529,17.104228973388672) (1193,17.01081657409668) (750,16.975555419921875)
2584: (2858,10.909505844116211) (2908,10.13914680480957) (2396,10.023797035217285) (2997,9.856645584106445) (265,9.735225677490234) (608,9.674689292907715) (1230,9.651724815368652) (527,9.636683464050293) (318,9.512186050415039) (2324,9.363380432128906) (2599,9.172966003417969) (36,9.13333511352539) (2336,9.132984161376953) (17,8.985615730285645) (1193,8.953863143920898) (2289,8.759578704833984) (58,8.738435745239258) (3006,8.669821739196777) (1225,8.588103294372559) (1247,8.563450813293457)
2585: (260,20.04439926147461)* (593,19.82571029663086)* (1196,19.61366844177246) (608,19.500640869140625)* (318,18.618207931518555)* (912,18.460451126098633) (2858,18.34818458557129) (1221,17.996063232421875) (1225,17.632675170898438) (1197,17.15425682067871) (1210,17.134349822998047) (1270,17.074649810791016) (296,16.92099380493164) (1259,16.56172752380371) (1247,16.349576950073242)* (2396,16.33791732788086) (1136,16.318771362304688) (1213,16.318317413330078) (110,16.28072166442871) (50,16.206525802612305)
2586: (608,18.614049911499023) (1193,18.242563247680664) (858,18.226945877075195) (1230,17.8051815032959) (912,17.794540405273438) (527,16.78470230102539) (1252,16.77359390258789) (1225,16.752513885498047) (1247,16.58531379699707) (111,16.505084991455078)* (908,16.492202758789062) (923,16.392864227294922) (593,16.336753845214844) (1221,15.884629249572754) (318,15.652050018310547) (904,15.570152282714844)* (1213,15.428800582885742) (2997,15.111936569213867)* (750,14.911307334899902) (919,14.833111763000488)
2587: (2571,13.030939102172852) (1210,12.519439697265625) (260,12.50189208984375) (1196,12.035715103149414) (1198,11.783905029296875) (1240,11.765758514404297) (2916,11.073997497558594) (1580,11.063312530517578) (457,11.062922477722168) (1036,10.956927299499512) (1200,10.577481269836426) (1214,10.512718200683594) (1291,10.489675521850586) (780,10.173160552978516) (1270,9.76034927368164) (2000,9.71795654296875) (1374,9.711494445800781) (3527,9.463013648986816) (1356,9.26780891418457) (1197,9.262434959411621)
2588: (2396,14.510017395019531) (1265,12.837931632995605) (318,12.774917602539062) (527,12.432249069213867) (2997,12.425914764404297) (608,12.036935806274414) (34,11.915237426757812) (2762,11.791275024414062) (593,11.776359558105469) (1784,11.68380355834961)* (2599,11.41409683227539) (2324,11.401275634765625) (1,11.357057571411133) (1307,11.308456420898438) (1704,11.062509536743164) (357,10.954573631286621) (1641,10.866552352905273) (39,10.799518585205078) (296,10.775266647338867) (1193,10.66362190246582)
2589: (1193,20.977428436279297) (2396,19.483963012695312) (912,19.291603088378906) (50,19.154075622558594) (1225,18.994211196899414)* (1230,18.970760345458984) (1221,18.13237953186035) (908,17.993270874023438)* (2762,17.731836318969727) (1136,17.288175582885742) (1265,17.19451332092285)* (34,17.06108856201172) (1207,16.959108352661133) (1197,16.897672653198242) (904,16.769758224487305) (1198,16.73098373413086)* (2289,16.662450790405273) (1358,16.539472579956055) (1704,16.250057220458984) (2804,16.2127685546875)*
2590: (260,18.205381393432617) (1198,16.891813278198242) (1210,16.78412628173828) (1240,16.090211868286133) (2028,15.740903854370117) (593,15.630483627319336) (480,15.231794357299805)* (858,15.222942352294922) (1197,15.182413101196289) (1200,15.050853729248047) (1270,14.797773361206055) (541,14.339252471923828) (2762,14.267226219177246) (1617,14.265880584716797) (296,14.098072052001953) (50,14.032594680786133) (1036,14.023849487304688) (457,13.895044326782227) (2916,13.587056159973145)* (1136,13.51093578338623)
2591: (1196,15.01260757446289)* (858,13.736549377441406)* (608,13.5045166015625) (1240,13.030948638916016) (527,12.945734024047852)* (318,12.827217102050781) (296,12.740041732788086) (50,12.556365966796875) (2762,12.533466339111328) (1214,12.492425918579102) (480,12.177839279174805) (1221,11.944120407104492) (457,11.918672561645508) (1193,11.713569641113281) (1036,11.62353801727295) (1259,11.60842514038086) (1136,11.513948440551758) (1097,11.341078758239746) (1580,11.243535995483398) (1387,11.081865310668945)
2592: (260,22.767526626586914) (1196,22.166263580322266) (593,21.6434326171875)* (1193,20.882511138916016) (1210,19.98406219482422) (1221,19.77906608581543)* (1270,19.71293830871582) (2858,19.344070434570312) (1197,19.158702850341797) (1097,19.090898513793945) (110,18.8808650970459)* (1240,18.655044555664062) (2762,18.380300521850586) (2396,18.30771255493164) (1259,18.22372055053711) (589,18.108306884765625) (1136,17.638259887695312) (296,17.60942840576172) (924,17.591598510742188) (2571,17.475881576538086)
2593: (1193,21.524211883544922) (593,20.496658325195312) (1221,20.228288650512695) (1225,19.81638526916504) (919,19.683753967285156) (1230,19.375030517578125) (750,19.27914047241211)* (1247,19.103439331054688) (904,18.768146514892578) (111,18.67312240600586) (923,18.568225860595703) (1136,18.516490936279297) (541,18.378032684326172)* (1197,18.358440399169922) (1207,18.12567138671875) (296,18.080364227294922) (1214,17.776321411132812) (1259,17.740318298339844) (1270,17.652313232421875) (1213,17.507720947265625)
2594: (260,14.929891586303711)* (1210,14.579324722290039)* (1196,14.280116081237793)* (1198,13.963630676269531) (110,13.469501495361328) (1240,13.391338348388672) (1580,12.720033645629883)* (2916,12.279385566711426)* (1036,12.259332656860352)* (1214,12.146761894226074) (1291,12.004982948303223) (1610,11.97845458984375) (1200,11.957687377929688) (1270,11.897683143615723) (780,11.48335075378418) (1197,11.364683151245117) (1374,11.260143280029297) (2000,10.99116325378418) (2762,10.971158027648926)* (1097,10.818377494812012)
2595: (589,16.677474975585938) (480,16.16179847717285) (260,15.92197036743164)* (1198,14.9908447265625) (1240,14.062837600708008) (780,13.361336708068848) (1197,13.360355377197266) (1291,13.283872604370117) (1036,13.255905151367188) (593,13.092124938964844) (733,12.782201766967773) (2858,12.744999885559082) (3578,12.680398941040039) (1200,12.526138305664062) (1214,12.274650573730469) (2000,12.213604927062988) (1097,11.972143173217773) (1527,11.837541580200195) (1127,11.836799621582031) (318,11.797344207763672)
2596: (1721,9.00438117980957) (2762,8.873950958251953) (2396,8.792706489562988) (1784,8.63599967956543) (1265,8.542376518249512) (1,8.449850082397461) (318,8.39160442352295) (1393,8.32175350189209) (2028,8.273103713989258) (11,8.233899116516113) (2858,8.223268508911133) (527,8.10117244720459) (593,7.9845051765441895) (1704,7.733863830566406) (150,7.713546276092529) (1270,7.6864728927612305) (457,7.594517707824707) (2355,7.5590057373046875) (1210,7.52646541595459) (1307,7.442466735839844)
2597: (912,16.694734573364258)* (1230,16.491270065307617) (2858,16.463329315185547) (527,16.074338912963867) (608,16.028200149536133) (1225,15.919051170349121)* (1247,15.553877830505371) (919,14.915424346923828) (593,14.66220474243164) (34,14.47974967956543) (1207,14.473569869995117) (908,14.399863243103027) (923,14.366467475891113) (2997,14.162498474121094) (1307,13.946866035461426) (904,13.84117317199707) (1265,13.84047794342041) (1617,13.834736824035645) (1094,13.830181121826172) (1252,13.728008270263672)
2598: (260,14.686063766479492)* (1196,14.101346015930176)* (1198,13.742828369140625)* (589,13.423711776733398) (2571,12.658885955810547) (2028,11.604301452636719) (110,11.488927841186523) (480,11.46353530883789) (541,11.371508598327637) (1291,11.062671661376953) (1270,11.047645568847656) (1197,10.790590286254883) (457,10.785518646240234) (1374,10.66444206237793) (2916,10.627381324768066) (1610,10.354653358459473) (924,10.304380416870117) (2000,10.27159595489502) (1097,10.195920944213867) (1580,10.18838119506836)
2599: (260,21.24050521850586)* (1240,19.579334259033203)* (1214,18.422605514526367)* (2916,16.82025146484375)* (2028,15.198379516601562) (1356,14.923601150512695) (1527,14.06352424621582) (924,13.879907608032227)* (2716,13.216703414916992) (593,13.146415710449219) (592,13.10897445678711) (1222,12.747756958007812) (2115,12.713617324829102) (316,12.68764877319336) (733,12.611717224121094) (1221,12.55817699432373)* (2762,12.243322372436523) (1372,12.199522972106934) (1573,12.16843032836914) (2640,12.075403213500977)
2600: (2858,15.653388977050781)* (593,14.229616165161133) (608,13.674337387084961) (2762,13.284475326538086) (296,13.05334758758545) (2396,12.378274917602539) (1617,12.175848960876465) (50,12.047298431396484) (2997,12.015111923217773) (1213,11.95274543762207) (1193,11.295439720153809) (356,11.294469833374023) (858,11.224616050720215) (1265,10.95051097869873) (1358,10.620950698852539) (2324,10.598379135131836) (1784,10.543481826782227) (150,10.203472137451172) (3578,10.11918830871582) (34,9.992615699768066)
2601: (858,14.510729789733887) (593,14.056007385253906) (527,14.009504318237305) (1193,13.619552612304688) (2858,13.464970588684082) (318,13.239362716674805) (260,12.951436996459961) (912,12.860170364379883) (1198,12.834251403808594) (1196,12.789836883544922) (1617,12.644574165344238) (1221,12.583560943603516) (296,12.445560455322266) (1225,12.252098083496094) (1213,12.033367156982422) (908,11.835686683654785) (1259,11.687688827514648) (50,11.67863655090332) (919,11.64111614227295) (1247,11.50362777709961)
2602: (2858,14.671934127807617) (1193,14.656142234802246) (912,14.005455017089844) (1230,13.9119873046875) (858,13.89661693572998) (318,13.583200454711914) (1225,13.378188133239746) (1617,13.097248077392578) (296,12.998124122619629) (923,12.905963897705078) (111,12.84269905090332) (1252,12.825845718383789) (908,12.749383926391602) (1213,12.746413230895996) (2997,12.640386581420898) (1207,12.611042976379395) (2396,12.248964309692383) (904,12.079821586608887) (1221,11.917304992675781) (1094,11.702879905700684)
2603: (2858,14.127298355102539) (593,13.142290115356445) (608,11.844138145446777) (296,11.668067932128906) (50,11.107526779174805) (1617,10.989632606506348) (2571,10.769115447998047) (2997,10.472732543945312) (1198,10.454166412353516) (1213,10.370849609375) (1196,10.365606307983398) (260,10.325979232788086) (457,10.308650016784668) (1,10.194169998168945) (589,10.190996170043945) (1210,10.1036376953125) (858,10.076749801635742) (1197,9.95050048828125) (480,9.917519569396973) (1784,9.890363693237305)
2604: (2858,19.07763671875) (608,17.593847274780273) (527,16.537620544433594) (296,16.294986724853516) (260,16.013437271118164) (1617,15.836655616760254) (2028,15.721475601196289) (1198,15.681529998779297) (50,15.416804313659668) (2762,15.373844146728516) (2396,15.2778959274292) (1259,14.776954650878906) (1265,14.488718032836914) (1221,14.465327262878418) (912,13.974386215209961) (1210,13.904211044311523) (2804,13.863407135009766) (2791,13.462528228759766)* (2571,13.446818351745605) (110,13.433751106262207)
2605: (1196,21.64834213256836) (1198,21.03537368774414)* (1193,19.68704605102539)* (912,19.022724151611328)* (1210,18.68612289428711) (541,18.669458389282227)* (2858,18.535743713378906)* (1197,18.144878387451172) (924,18.094743728637695)* (318,17.875041961669922) (1136,17.72061538696289) (1270,17.66253662109375) (908,17.6517391204834) (919,17.646570205688477) (1225,17.53449249267578) (1200,17.378520965576172)* (1304,17.217321395874023) (1387,17.200439453125) (111,17.043785095214844) (1097,16.89776611328125)
2606: (858,18.343116760253906) (1193,17.819814682006836) (608,17.58026123046875) (1225,17.055435180664062) (527,16.524648666381836) (1247,16.3031005859375) (593,16.274709701538086) (919,16.2397518157959) (908,16.05740737915039) (1196,15.89813232421875) (1221,15.884954452514648) (1198,15.824764251708984) (318,15.602418899536133) (1252,15.527565002441406) (1617,15.479869842529297) (1394,15.452300071716309)* (923,15.43101978302002) (111,15.356829643249512) (1207,15.262853622436523) (904,15.214048385620117)
2607: (2858,18.34895133972168) (318,17.107765197753906)* (1225,16.077014923095703) (296,15.991683006286621) (1230,15.9114990234375) (1247,15.501916885375977) (2997,15.314702987670898) (923,14.982035636901855)* (1221,14.87759017944336) (1207,14.766741752624512) (111,14.762870788574219)* (50,14.747203826904297) (904,14.541028022766113) (34,14.12708568572998) (1196,13.806967735290527) (1198,13.713205337524414) (1136,13.677225112915039) (1265,13.637012481689453) (1259,13.574317932128906) (750,13.535388946533203)
2608: (2858,24.816118240356445)* (1230,24.548620223999023)* (527,23.53644561767578) (858,23.52736473083496)* (1225,23.14984130859375) (1247,22.742660522460938)* (593,22.348663330078125) (923,21.95477294921875) (1617,21.90090560913086)* (111,21.845481872558594) (1252,21.81346893310547) (908,21.7882137298584) (2289,20.25616455078125)* (1221,20.218582153320312)* (919,19.898645401000977) (1094,19.877445220947266) (34,19.433631896972656) (2064,18.732112884521484)* (1136,18.705997467041016)* (750,18.70505714416504)*
2609: (608,25.865169525146484)* (858,25.616718292236328) (1193,24.786508560180664) (527,24.625165939331055)* (2858,24.4689884185791)* (912,24.07437515258789) (318,23.34200668334961)* (1225,22.741390228271484) (1230,22.299362182617188) (1221,22.182523727416992) (1247,21.92085075378418) (260,21.45659065246582) (1213,21.41213607788086) (111,21.33440399169922) (2396,21.265045166015625) (1196,21.200260162353516) (1198,21.164588928222656) (919,21.156620025634766) (923,20.9420223236084) (1207,20.705827713012695)
2610: (260,11.729287147521973) (1210,11.528441429138184) (2571,11.281656265258789) (1196,11.199777603149414) (1198,10.901622772216797) (1240,10.70161247253418) (1580,10.161916732788086)* (1214,9.772289276123047) (2028,9.740938186645508) (1036,9.721733093261719) (2916,9.654297828674316) (1200,9.62010383605957) (457,9.534460067749023) (1291,9.466222763061523) (1270,9.397053718566895) (2628,9.38249683380127) (1610,9.251102447509766) (1374,9.118997573852539) (780,9.022965431213379) (2000,8.847330093383789)
2611: (608,22.474197387695312) (527,22.111234664916992) (1210,21.300596237182617) (1617,20.682941436767578)* (1259,19.86616325378418) (2396,19.784757614135742) (1265,19.458358764648438) (1136,19.327007293701172) (2997,18.828289031982422) (457,18.484970092773438)* (2716,18.393260955810547)* (919,18.231781005859375)* (541,17.761642456054688) (1307,17.666622161865234) (1387,17.484481811523438) (1968,17.01611328125)* (1079,16.966312408447266) (1304,16.944747924804688) (924,16.849735260009766) (908,16.820249557495117)
2612: (2858,14.260055541992188) (608,12.763421058654785)* (318,11.722902297973633) (2396,11.6965913772583)* (527,11.583207130432129) (593,11.56119441986084)* (1617,11.239296913146973) (2599,10.987558364868164) (1193,10.86134147644043) (1213,10.53200626373291) (50,10.527746200561523) (1230,10.466804504394531) (858,10.312768936157227) (2324,10.196130752563477) (1265,10.030863761901855) (912,9.960683822631836) (1225,9.930835723876953) (2289,9.884906768798828) (2762,9.878963470458984) (1247,9.465410232543945)
2613: (912,14.281641006469727) (2858,14.178665161132812) (608,13.954633712768555) (1225,13.346527099609375) (1247,13.258025169372559) (858,13.244132995605469) (527,13.03049087524414) (908,12.844320297241211) (923,12.761831283569336) (2997,12.72680377960205) (1252,12.554702758789062) (919,12.503734588623047) (1207,12.367250442504883) (318,12.36672306060791) (593,12.310125350952148) (904,12.238154411315918) (1617,12.178653717041016) (34,12.06611442565918) (111,12.00496768951416) (1244,11.71414852142334)
2614: (1196,14.468116760253906) (1198,14.323837280273438) (858,14.283695220947266) (593,13.864095687866211) (2028,13.8629150390625) (608,13.246347427368164) (1210,13.097972869873047) (589,12.75641918182373) (318,12.616386413574219) (2571,12.499685287475586) (1240,12.486128807067871) (1221,12.453166007995605) (1197,12.391887664794922) (1193,12.360902786254883) (1617,12.231792449951172) (296,12.079911231994629) (1270,12.036588668823242) (1214,11.977825164794922) (2762,11.819379806518555) (50,11.765700340270996)
2615: (608,13.467453002929688) (296,13.158767700195312) (50,12.49859619140625)* (2997,12.223596572875977) (2396,11.871549606323242) (1213,11.795976638793945)* (858,11.315875053405762) (356,11.092247009277344) (2571,11.032858848571777) (3578,10.920879364013672) (1198,10.771442413330078) (1196,10.73325252532959) (1193,10.717033386230469) (1265,10.696149826049805) (2959,10.692712783813477) (260,10.63581657409668) (1197,10.31566047668457) (457,10.31412124633789) (589,10.30655288696289) (1259,10.104917526245117)
2616: (608,18.538646697998047) (527,17.80896759033203)* (912,17.63725471496582) (1230,17.307092666625977) (593,16.963577270507812) (318,16.945955276489258) (1247,16.548982620239258) (2396,16.110916137695312) (1617,15.922029495239258) (908,15.850894927978516) (923,15.73246955871582) (296,15.720776557922363) (111,15.51537799835205) (1252,15.406347274780273) (2997,15.361438751220703) (1213,15.338951110839844) (1221,15.124999046325684) (904,15.00942611694336) (50,14.233766555786133) (1394,14.043893814086914)
2617: (2858,17.73684310913086) (296,14.75040054321289) (1617,14.248319625854492) (2997,14.243057250976562) (2028,13.872300148010254) (1193,13.853757858276367) (1213,13.66573715209961) (50,13.544458389282227) (858,13.404340744018555) (1265,13.154796600341797) (2324,12.882105827331543) (356,12.52485466003418) (912,12.351308822631836) (1358,12.30209732055664) (2599,12.099554061889648) (1784,12.010797500610352)* (1247,11.675802230834961) (1259,11.67514419555664) (1230,11.660158157348633) (1094,11.583089828491211)*
2618: (480,7.5377607345581055) (110,7.328556537628174)* (356,7.289704322814941) (589,6.715745449066162) (2028,6.580350875854492) (1580,6.574707984924316)* (2571,6.498717308044434) (2628,6.311959266662598) (2762,6.304525375366211) (457,6.296278953552246) (780,6.263273239135742) (260,6.025448799133301) (1610,6.003914833068848) (1198,5.9823222160339355) (1721,5.960310935974121) (3578,5.926945686340332) (1196,5.877700328826904) (1270,5.77247953414917) (380,5.736276626586914) (1,5.689706802368164)
2619: (858,19.85575294494629)* (260,18.5911865234375) (1196,18.177644729614258) (1198,17.916109085083008) (2028,17.233430862426758)* (1221,17.232791900634766) (296,17.075923919677734) (1225,16.70657730102539) (919,16.198122024536133)* (908,16.189918518066406) (1213,16.149456024169922) (2396,15.936041831970215)* (750,15.657855987548828) (1247,15.653474807739258) (111,15.643608093261719) (2762,15.535684585571289) (2997,15.468770980834961) (1210,15.396834373474121) (541,15.258476257324219) (923,15.180641174316406)
2620: (260,15.782967567443848) (1196,15.192098617553711) (1240,14.794869422912598)* (110,14.69076919555664) (2916,13.955854415893555) (1580,13.898124694824219) (457,13.843057632446289) (1200,13.25538444519043) (1214,13.249258041381836)* (1374,12.34051513671875) (3527,11.991413116455078)* (1356,11.820609092712402) (1197,11.776446342468262) (1387,11.658803939819336) (349,11.606385231018066) (1527,11.496061325073242) (1127,11.14238166809082) (1573,10.987438201904297) (3256,10.943999290466309) (2762,10.917014122009277)*
2621: (260,17.778003692626953)* (1198,16.80307388305664)* (480,16.731550216674805) (1580,15.669258117675781) (1197,15.18811321258545) (1240,15.148150444030762)* (356,15.130691528320312)* (457,14.990900993347168) (2628,14.451873779296875)* (1,14.433197021484375) (2858,14.397727012634277) (1291,14.374835968017578) (1036,14.224458694458008) (2916,14.01009464263916) (1097,13.991540908813477) (1610,13.957268714904785) (780,13.611185073852539)* (1214,13.544076919555664) (1200,13.422525405883789)* (2716,13.389362335205078)*
2622: (2858,14.269010543823242) (2396,14.08802604675293) (318,12.574972152709961) (527,12.560894012451172) (608,12.40231990814209) (2997,12.133356094360352) (593,11.490930557250977) (1230,11.480863571166992) (2324,11.449487686157227) (34,11.385177612304688) (1265,11.318641662597656) (1094,11.271425247192383) (2599,11.173343658447266) (1193,11.116823196411133) (912,11.073269844055176) (1225,10.956896781921387) (1704,10.897857666015625) (357,10.815574645996094) (2762,10.777734756469727) (1247,10.752033233642578)
2623: (597,10.257211685180664) (2396,10.221940994262695) (11,9.403564453125) (1569,9.094545364379883) (2671,8.979752540588379)* (1721,8.95842456817627) (2355,8.792287826538086) (339,8.647204399108887) (1265,8.494003295898438) (39,8.382891654968262) (440,8.24223804473877) (357,8.241715431213379) (838,8.191688537597656) (3255,8.137203216552734) (587,8.0824613571167) (1,8.02560806274414) (1393,7.985940456390381) (2572,7.8969807624816895) (7,7.80549430847168) (2858,7.758382797241211)
2624: (260,25.05373764038086)* (1198,23.753297805786133)* (858,23.279624938964844)* (527,21.671958923339844) (1270,21.590518951416016)* (2858,21.100406646728516) (1240,20.28978157043457) (1221,19.986663818359375) (1617,19.897785186767578)* (589,19.774391174316406) (1136,19.7541446685791) (2762,19.092164993286133) (924,19.031938552856445) (750,18.95566749572754) (1265,18.804676055908203)* (296,18.61650276184082) (480,18.37289047241211) (1387,18.341915130615234) (1200,18.289592742919922)* (2804,18.062423706054688)
2625: (260,16.574918746948242) (1196,15.665155410766602) (1240,15.59925651550293) (1198,15.080947875976562) (589,14.995698928833008) (1210,14.709360122680664) (2571,13.554424285888672) (541,13.284156799316406) (1036,13.14028549194336) (1374,13.052045822143555) (858,13.014666557312012) (480,12.921066284179688) (924,12.313188552856445) (1291,12.286075592041016) (1270,12.198053359985352) (2916,12.160009384155273) (1221,11.739299774169922) (3527,11.67361831665039) (1097,11.499282836914062) (1580,11.4860200881958)
2626: (2858,12.242231369018555) (527,11.090185165405273) (318,11.038375854492188) (593,10.710122108459473) (608,10.556109428405762) (2997,9.730968475341797) (1617,9.306797981262207) (296,9.293879508972168) (2028,9.260786056518555) (858,9.20814323425293) (1704,9.15752124786377) (912,8.966059684753418) (356,8.904447555541992) (1225,8.886259078979492) (1265,8.756999969482422) (1213,8.690185546875) (2324,8.59454345703125) (34,8.576478004455566) (50,8.53315544128418) (919,8.348932266235352)
2627: (593,24.190200805664062)* (527,24.057212829589844) (1225,22.169574737548828) (1207,20.16839599609375) (1136,20.05592155456543)* (1394,19.63510513305664) (2028,19.620752334594727) (1259,19.467517852783203)* (260,19.3380126953125)* (34,19.198854446411133) (1208,19.1591796875) (2324,19.090078353881836) (1197,18.992050170898438) (1288,18.973918914794922)* (1265,18.927963256835938) (1094,18.594392776489258)* (903,18.161865234375)* (1219,18.11245346069336) (924,17.95545768737793) (1307,17.679344177246094)
2628: (608,21.79690933227539) (2997,19.397945404052734) (1230,19.243059158325195) (2396,18.94754409790039) (1225,18.666160583496094) (1617,18.440086364746094) (1213,18.434520721435547) (912,18.30522346496582) (1247,18.026330947875977) (2324,17.32347869873047) (2599,17.18710708618164) (2289,17.062469482421875) (923,17.022216796875) (50,16.973800659179688) (1207,16.830829620361328) (908,16.567031860351562) (34,16.363222122192383) (1252,16.36087417602539) (1358,16.254257202148438) (1704,16.222681045532227)
2629: (2028,21.406227111816406)* (480,19.993919372558594) (1197,18.386308670043945) (858,18.274608612060547) (1291,17.96122932434082)* (1580,17.930219650268555)* (608,17.390352249145508) (1214,16.995895385742188) (1200,16.93072509765625) (50,16.736759185791016) (1259,16.512109756469727) (2628,16.477922439575195) (1,16.176952362060547) (3578,16.111337661743164) (2716,15.901525497436523) (590,15.301046371459961) (1213,15.288689613342285)* (1374,15.213357925415039) (1193,15.14367961883545) (1136,14.851700782775879)
2630: (2396,11.958703994750977) (318,11.556102752685547) (608,11.084342956542969) (593,11.01439094543457) (296,10.778164863586426) (527,10.743757247924805) (1617,9.920607566833496) (50,9.855857849121094) (1704,9.741744041442871) (1265,9.48900318145752) (1213,9.461637496948242) (3408,9.444538116455078) (2324,9.392431259155273) (2706,9.36114501953125) (2028,9.245426177978516) (2395,9.212647438049316) (1784,8.944190979003906) (2355,8.932870864868164) (3897,8.901440620422363) (34,8.720806121826172)
2631: (912,20.053924560546875) (1230,19.50501251220703) (1193,18.888965606689453) (858,18.81317138671875) (1225,18.581039428710938) (1247,18.272708892822266) (608,17.946571350097656) (908,17.714534759521484) (2396,17.705181121826172) (527,17.385879516601562) (2858,17.253528594970703) (923,17.2027587890625) (1207,17.118370056152344) (1252,17.02338409423828) (904,17.018266677856445) (1307,16.400218963623047) (593,16.363683700561523) (910,16.231678009033203)* (34,16.105213165283203) (318,16.102951049804688)
2632: (2858,12.556270599365234) (593,12.305749893188477) (608,12.124161720275879) (527,11.625696182250977) (318,11.59287166595459) (2028,11.223958969116211) (2762,11.124593734741211) (296,11.0700044631958) (50,10.828880310058594) (858,10.78322696685791) (2396,10.33448314666748) (1213,10.103753089904785) (1193,10.062976837158203) (260,10.017967224121094) (1198,10.002354621887207) (1196,10.001350402832031) (110,9.873392105102539) (2997,9.794388771057129) (1265,9.671772003173828) (356,9.66912841796875)
2633: (2858,13.99585247039795) (2396,12.065624237060547) (2997,11.991729736328125) (318,10.387981414794922) (608,10.10833740234375) (593,9.977910041809082) (1265,9.977879524230957) (527,9.814430236816406) (296,9.4732027053833) (1,9.32229995727539) (1617,9.159727096557617) (34,9.153388977050781) (2959,9.036089897155762) (2706,8.907058715820312) (2395,8.903665542602539) (2324,8.839092254638672) (1197,8.82638931274414) (356,8.824484825134277) (50,8.769735336303711) (1784,8.674783706665039)
2634: (2858,26.554344177246094)* (608,25.67530059814453)* (1193,23.76134490966797) (593,23.376638412475586) (858,22.694807052612305)* (1617,22.36516571044922) (1225,22.063016891479492) (1247,21.429553985595703) (1213,21.275426864624023) (111,20.387550354003906) (2324,20.218303680419922)* (50,20.211257934570312) (1252,20.107778549194336) (1207,20.045724868774414) (2599,19.807065963745117) (1094,19.73201560974121)* (919,19.27505111694336) (904,19.25799560546875) (2762,18.969009399414062) (1358,18.684120178222656)
2635: (2628,6.622349262237549) (780,6.620421409606934) (316,6.534755706787109) (2571,6.523767471313477) (1580,6.4123992919921875) (1527,6.4019246101379395) (1215,6.347819805145264) (2916,6.34598445892334) (1356,6.2703471183776855) (1544,6.25538444519043) (3527,6.187353610992432) (1676,6.129900932312012) (3793,5.928175926208496) (2167,5.922557830810547) (3300,5.856627464294434) (1372,5.818863868713379) (1917,5.728733062744141) (2617,5.689426898956299) (1374,5.5655670166015625) (3697,5.556128025054932)
2636: (608,14.682722091674805) (593,14.514816284179688) (296,14.037965774536133)* (1617,13.134048461914062) (1213,12.606951713562012) (1704,12.269926071166992)* (858,11.51352310180664) (34,11.179208755493164) (1358,10.906667709350586) (356,10.876265525817871) (223,10.856664657592773) (1784,10.83968734741211) (1,10.581937789916992)* (3160,10.536223411560059) (1259,10.503711700439453) (2395,10.483652114868164) (1225,10.44460678100586) (2908,10.390643119812012) (2336,10.318214416503906) (1641,10.076639175415039)
